,function.,variable,copy_number,plant_nr
296,09108 Metabolism of cofactors and vitamins,C3_C,4.928443724,C3
297,09122 Translation,C3_C,13.76938391,C3
298,09124 Replication and repair,C3_C,1.11868482,C3
299,09131 Membrane transport,C3_C,1.805041277,C3
300,09132 Signal transduction,C3_C,1.375065752,C3
301,09142 Cell motility,C3_C,3.498174384,C3
302,09181 Protein families: metabolism,C3_C,2.200428135,C3
303,09182 Protein families: genetic information processing,C3_C,9.709746989,C3
304,09183 Protein families: signaling and cellular processes,C3_C,4.323179751,C3
305,09191 Unclassified: metabolism,C3_C,4.813543007,C3
306,Other,C3_C,4.226442025,C3
307,09101 Carbohydrate metabolism,C4_A,16.45394712,C4
308,09102 Energy metabolism,C4_A,8.3068176,C4
309,09103 Lipid metabolism,C4_A,4.397359963,C4
310,09104 Nucleotide metabolism,C4_A,4.024908697,C4
311,09105 Amino acid metabolism,C4_A,9.789564277,C4
312,09106 Metabolism of other amino acids,C4_A,1.505972673,C4
313,09107 Glycan biosynthesis and metabolism,C4_A,3.732382216,C4
314,09108 Metabolism of cofactors and vitamins,C4_A,5.279003082,C4
315,09122 Translation,C4_A,14.07685,C4
316,09124 Replication and repair,C4_A,1.124128219,C4
317,09131 Membrane transport,C4_A,1.908224389,C4
318,09132 Signal transduction,C4_A,1.252371777,C4
319,09142 Cell motility,C4_A,2.687599728,C4
320,09181 Protein families: metabolism,C4_A,2.173619375,C4
321,09182 Protein families: genetic information processing,C4_A,9.64964114,C4
322,09183 Protein families: signaling and cellular processes,C4_A,4.426671748,C4
323,09191 Unclassified: metabolism,C4_A,4.991236082,C4
324,Other,C4_A,4.219701914,C4
325,09101 Carbohydrate metabolism,C4_B,16.59200584,C4
326,09102 Energy metabolism,C4_B,8.356484454,C4
327,09103 Lipid metabolism,C4_B,4.451134847,C4
328,09104 Nucleotide metabolism,C4_B,3.976096185,C4
329,09105 Amino acid metabolism,C4_B,9.782222295,C4
330,09106 Metabolism of other amino acids,C4_B,1.535505232,C4
331,09107 Glycan biosynthesis and metabolism,C4_B,3.582844651,C4
332,09108 Metabolism of cofactors and vitamins,C4_B,5.321763434,C4
333,09122 Translation,C4_B,14.11934741,C4
334,09124 Replication and repair,C4_B,1.145004407,C4
335,09131 Membrane transport,C4_B,1.919741682,C4
336,09132 Signal transduction,C4_B,1.204744582,C4
337,09142 Cell motility,C4_B,2.73485578,C4
338,09181 Protein families: metabolism,C4_B,2.200982312,C4
339,09182 Protein families: genetic information processing,C4_B,9.597872933,C4
340,09183 Protein families: signaling and cellular processes,C4_B,4.238439556,C4
341,09191 Unclassified: metabolism,C4_B,5.000230239,C4
342,Other,C4_B,4.240724158,C4
343,09101 Carbohydrate metabolism,C4_C,16.52771459,C4
344,09102 Energy metabolism,C4_C,8.36429365,C4
345,09103 Lipid metabolism,C4_C,4.419879861,C4
346,09104 Nucleotide metabolism,C4_C,4.072840699,C4
347,09105 Amino acid metabolism,C4_C,9.781989091,C4
348,09106 Metabolism of other amino acids,C4_C,1.480859879,C4
349,09107 Glycan biosynthesis and metabolism,C4_C,3.792869802,C4
350,09108 Metabolism of cofactors and vitamins,C4_C,5.301808635,C4
351,09122 Translation,C4_C,14.37025284,C4
352,09124 Replication and repair,C4_C,1.119934952,C4
353,09131 Membrane transport,C4_C,1.897375232,C4
354,09132 Signal transduction,C4_C,1.161833761,C4
355,09142 Cell motility,C4_C,2.474931181,C4
356,09181 Protein families: metabolism,C4_C,2.171308053,C4
357,09182 Protein families: genetic information processing,C4_C,9.652898453,C4
358,09183 Protein families: signaling and cellular processes,C4_C,4.283982933,C4
359,09191 Unclassified: metabolism,C4_C,4.956412931,C4
360,Other,C4_C,4.168813451,C4
361,09101 Carbohydrate metabolism,C5_A,16.56231865,C5
362,09102 Energy metabolism,C5_A,8.291678274,C5
363,09103 Lipid metabolism,C5_A,4.478718216,C5
364,09104 Nucleotide metabolism,C5_A,3.859175242,C5
365,09105 Amino acid metabolism,C5_A,9.897369287,C5
366,09106 Metabolism of other amino acids,C5_A,1.647177263,C5
367,09107 Glycan biosynthesis and metabolism,C5_A,3.447963225,C5
368,09108 Metabolism of cofactors and vitamins,C5_A,5.284611362,C5
369,09122 Translation,C5_A,13.62114549,C5
370,09124 Replication and repair,C5_A,1.161960339,C5
371,09131 Membrane transport,C5_A,1.856858349,C5
372,09132 Signal transduction,C5_A,1.301349834,C5
373,09142 Cell motility,C5_A,2.916440921,C5
374,09181 Protein families: metabolism,C5_A,2.243211298,C5
375,09182 Protein families: genetic information processing,C5_A,9.523866251,C5
376,09183 Protein families: signaling and cellular processes,C5_A,4.340343644,C5
377,09191 Unclassified: metabolism,C5_A,5.179479998,C5
378,Other,C5_A,4.386332352,C5
379,09101 Carbohydrate metabolism,C5_B,16.20802071,C5
380,09102 Energy metabolism,C5_B,8.230701764,C5
381,09103 Lipid metabolism,C5_B,4.388321897,C5
382,09104 Nucleotide metabolism,C5_B,4.111117473,C5
383,09105 Amino acid metabolism,C5_B,9.865890145,C5
384,09106 Metabolism of other amino acids,C5_B,1.43625256,C5
385,09107 Glycan biosynthesis and metabolism,C5_B,3.987261467,C5
386,09108 Metabolism of cofactors and vitamins,C5_B,5.307655043,C5
387,09122 Translation,C5_B,14.25469445,C5
388,09124 Replication and repair,C5_B,1.149324552,C5
389,09131 Membrane transport,C5_B,1.803662492,C5
390,09132 Signal transduction,C5_B,1.188174755,C5
391,09142 Cell motility,C5_B,2.437157686,C5
392,09181 Protein families: metabolism,C5_B,2.085313114,C5
393,09182 Protein families: genetic information processing,C5_B,9.76743875,C5
394,09183 Protein families: signaling and cellular processes,C5_B,4.624457863,C5
395,09191 Unclassified: metabolism,C5_B,4.981311071,C5
396,Other,C5_B,4.173244213,C5
397,09101 Carbohydrate metabolism,C5_C,16.28821188,C5
398,09102 Energy metabolism,C5_C,8.406549672,C5
