,OTU_ID,sample,Sample_Depth,plant_nr,Site,abun,Guild
641,348,J10_A,,J10,El Junco,NA,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
642,365,J10_A,,J10,El Junco,NA,Undefined Saprotroph
643,449,J10_A,,J10,El Junco,22.21433641,Undefined Saprotroph
644,452,J10_A,,J10,El Junco,7.604177228,Soil Saprotroph
645,472,J10_A,,J10,El Junco,15.09175707,Arbuscular Mycorrhizal
646,482,J10_A,,J10,El Junco,0.030416709,Undefined Saprotroph
647,484,J10_A,,J10,El Junco,15.6848829,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
648,1_Other,J10_A,,J10,El Junco,19.88745818,Other
649,14,J10_B,,J10,El Junco,NA,Undefined Saprotroph
650,48,J10_B,,J10,El Junco,0.215794071,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
651,73,J10_B,,J10,El Junco,NA,Undefined Saprotroph
652,128,J10_B,,J10,El Junco,3.329394235,Undefined Saprotroph
653,156,J10_B,,J10,El Junco,1.87021528,Endophyte
654,160,J10_B,,J10,El Junco,NA,Undefined Saprotroph
655,234,J10_B,,J10,El Junco,4.629296614,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
656,244,J10_B,,J10,El Junco,0.010275908,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph
657,247,J10_B,,J10,El Junco,4.064121667,Plant Pathogen
658,260,J10_B,,J10,El Junco,NA,Fungal Parasite
659,348,J10_B,,J10,El Junco,NA,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotro
660,365,J10_B,,J10,El Junco,NA,Undefined Saprotroph
661,449,J10_B,,J10,El Junco,43.86271387,Undefined Saprotroph
662,452,J10_B,,J10,El Junco,5.281816781,Soil Saprotroph
663,472,J10_B,,J10,El Junco,17.18645635,Arbuscular Mycorrhizal
664,482,J10_B,,J10,El Junco,0.292863382,Undefined Saprotroph
665,484,J10_B,,J10,El Junco,11.4987412,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph
666,1_Other,J10_B,,J10,El Junco,7.758310641,Other
667,14,J10_C,,J10,El Junco,NA,Undefined Saprotroph
668,48,J10_C,,J10,El Junco,0.311239698,Animal Pathogen-Plant Pathogen-Undefined Saprotroph
669,73,J10_C,,J10,El Junco,NA,Undefined Saprotroph
670,128,J10_C,,J10,El Junco,7.136594775,Undefined Saprotroph
671,156,J10_C,,J10,El Junco,3.739260039,Endophyte
672,160,J10_C,,J10,El Junco,NA,Undefined Saprotroph
